id	name	in_silo	verdict	maps_to	silo_detects_via	silo_docs	silo_action	probe_hits	precision	reason
AGG-stage-toggle	Stage enable/disable	yes	same definition	AGG-stage-toggle	AGG-stage-toggle	2				names/descriptions match (silo text is a shortened form where different)
AGG-timer-cancel	Timer & cancel	yes	same definition	AGG-timer-cancel	AGG-timer-cancel	1				names/descriptions match (silo text is a shortened form where different)
AGG-vqb-sync	VQB sync	yes	same definition	AGG-vqb-sync	AGG-vqb-sync	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-001	AI helper backends	no	retire (synonym)	AI-providers	AI-providers	136		39		Same provider-set definition; silo pattern already catches 72% of hits
AI-002	AI helper configuration	no	child-of	AI-multi-config	AI-multi-config	1		51		Runtime config controls (temperature/enable) within AI configs; Enable/config controls are covered by AI-multi-config (98% family coverage)
AI-003	AI helper NL generation	no	child-of	AI-nl-query	AI-nl-query	154		55		Studio 3T NL generation workflow spanning query/pipeline/script; NL query/pipeline generation = AI-nl-query + AI-nl-pipeline; 75% covered
AI-004	AI helper apply results	no	analysis-only					18	1	Apply-generated-result; probe precision 1/5, source-code distinction
AI-005	AI helper history	no	analysis-only					18		Local AI history restore; Studio 3T source-only, 18 hits
AI-006	AI helper shortcuts	no	analysis-only					4		AI shortcuts; 4 hits in whole corpus
AI-007	Local MCP server config	no	retire (synonym)	AI-local-mcp	AI-local-mcp	135		130	4	"Same ""local MCP server"" meaning; never in same matrix as AI-local-mcp"
AI-008	Local MCP toolset	no	retire (synonym)	AI-mcp-tools	AI-local-mcp	135		73	4	Same MCP tool-catalog meaning; never co-used
AI-009	MCP client compatibility	no	retire (synonym)	AI-mcp-client	AI-local-mcp	135		31	5	Same MCP-client-compat meaning; never co-used
AI-010	stt-cli binary	no	child-of	AI-stt-cli	AI-stt-cli	40		18	5	Binary surface of stt-cli; co-exists with AI-011 in the 3T MCP matrix; stt-cli binary = AI-stt-cli
AI-011	stt-cli feature set	no	child-of	AI-stt-cli	AI-stt-cli	40		18	5	Feature set of stt-cli; co-exists with AI-010 in the 3T MCP matrix; stt-cli feature set = AI-stt-cli
AI-012	3T Explore AI agent	no	analysis-only					5		3T Explore AI agent; 5 hits, all already family-tagged
AI-agentic-mode	AI Helper Plus — agentic tool-calling mode	yes	same definition	AI-agentic-mode	AI-agentic-mode	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-chart-render	AI Helper response chart rendering	yes	same definition	AI-chart-render	AI-chart-render	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-context-turns	Conversation turns	no	retire (synonym)	AI-conversation	AI-conversation	33		98	0	Identical definition to AI-conversation; orphan
AI-conversation	Conversation context	yes	same definition	AI-conversation	AI-conversation	33	widened			pattern narrower than definition; new pattern sampled >= 6/8
AI-error-fix	AI-assisted error correction	yes	same definition	AI-error-fix	AI-error-fix	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-explanation	Query explanation	yes	same definition	AI-explanation	AI-explanation	0				names/descriptions match (silo text is a shortened form where different)
AI-guardrail-layer	AI Helper mismatch/guard-rail apply layer	yes	same definition	AI-guardrail-layer	AI-guardrail-layer	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-inline-completion	Inline AI code completion	yes	same definition	AI-inline-completion	AI-inline-completion	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-key-storage	API key storage	yes	same definition	AI-key-storage	AI-key-storage	1				names/descriptions match (silo text is a shortened form where different)
AI-local-mcp	Local MCP server	yes	feed-upstream		AI-local-mcp	135	added to silo	130	7	Only new ID worth adding: generic MCP server; silo AI-offline-mcp (Studio 3T-bundled) catches 5%; 75 distinct uncaught snippets, 7/8 precise, 15 products
AI-mcp-client	MCP client support	no	child-of	AI-local-mcp	AI-local-mcp	135		22	7	Facet of the local MCP server; its phrasing is folded into the silo AI-local-mcp pattern; Fold into upstream AI-local-mcp patterns (24/31 docs overlap); client lists are matrix detail
AI-mcp-tools	MCP tools count	no	child-of	AI-local-mcp	AI-local-mcp	135		73	5	Facet of the local MCP server; its phrasing is folded into the silo AI-local-mcp pattern; Fold into upstream AI-local-mcp patterns (44/73 docs overlap); tool counts are matrix-level detail; 5/8 precise
AI-model-chooser	Model chooser	no	child-of	AI-models	AI-models	72		57	7	"Gap report: ""user-selectable model per config"" aspect differs from AI-models (""models available""); Same meaning as AI-models; widen AI-models pattern (catches 23%; 23 distinct uncaught, 7/8)"
AI-models	Model selection	yes	same definition	AI-models	AI-models	72	widened			pattern narrower than definition; new pattern sampled >= 6/8
AI-multi-config	Multiple configs	yes	same definition	AI-multi-config	AI-multi-config	1				names/descriptions match (silo text is a shortened form where different)
AI-multi-conversation	AI Helper — multiple named conversations	yes	same definition	AI-multi-conversation	AI-multi-conversation	29	widened			pattern narrower than definition; new pattern sampled >= 6/8
AI-named-configs	Named AI configs	no	retire (synonym)	AI-multi-config	AI-multi-config	1		23		"Same ""multiple named AI configs"" definition"
AI-nl-pipeline	NL to pipeline	yes	same definition	AI-nl-pipeline	AI-nl-pipeline	6	widened			pattern narrower than definition; new pattern sampled >= 6/8
AI-nl-query	NL to query	yes	same definition	AI-nl-query	AI-nl-query	154	boundary-bug fixed; tightened			"~1/8 on-topic: bare ""AI Helper/assistant"" mentions"
AI-offline-mcp	Bundled offline MongoDB MCP server	yes	same definition	AI-offline-mcp	AI-offline-mcp	12				names/descriptions match (silo text is a shortened form where different)
AI-plan-gate	AI plan gate	no	retire (synonym)	AI-plan-req				24		Near-identical definition to AI-plan-req; never co-used
AI-plan-req	Plan requirement	no	analysis-only					24	5	Precise (5/5) but all 24 hits are DBeaver edition banners; single-vendor
AI-privacy	Privacy mode	yes	same definition	AI-privacy	AI-privacy	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-prompt-templates	Custom AI prompt template library	yes	same definition	AI-prompt-templates	AI-prompt-templates	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-providers	Provider support	yes	same definition	AI-providers	AI-providers	136				names/descriptions match (silo text is a shortened form where different)
AI-safety-guards	AI execution safety guardrails	yes	same definition	AI-safety-guards	AI-safety-guards	4				names/descriptions match (silo text is a shortened form where different)
AI-sample-context	Sample context	yes	same definition	AI-sample-context	AI-sample-context	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-sample-data-toggle	Sample data toggle	no	retire (synonym)	AI-sample-context	AI-sample-context	0		3		Same sample-data opt-in definition
AI-schema-aware	Schema-aware	yes	same definition	AI-schema-aware	AI-schema-aware	9	widened			pattern narrower than definition; new pattern sampled >= 6/8
AI-schema-context	Schema context	no	retire (synonym)	AI-schema-aware	AI-schema-aware	9		23	8	Same meaning as AI-schema-aware; widen pattern (0% caught) - but 7 distinct snippets, 1 vendor (DataGrip)
AI-stt-cli	stt-cli + PII scanner	yes	feed-upstream		AI-stt-cli	40	added to silo	18	8	3T MCP binary; 0% caught by PROP-cli-automation/SCHED-cli-headless; 8 distinct snippets, all 3T docs
AI-tab-context	Global Tab Context Registry	yes	same definition	AI-tab-context	AI-tab-context	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
AI-voice-query	Voice input for AI queries	yes	same definition	AI-voice-query	AI-voice-query	8	widened			pattern narrower than definition; new pattern sampled >= 6/8
CONN-access-manager-integration	Access Manager tree integration	yes	same definition	CONN-access-manager-integration	CONN-access-manager-integration	17				names/descriptions match (silo text is a shortened form where different)
CONN-auth-enterprise	Enterprise auth	yes	same definition	CONN-auth-enterprise	CONN-auth-enterprise	811				names/descriptions match (silo text is a shortened form where different)
CONN-auth-std	Standard auth	yes	same definition	CONN-auth-std	CONN-auth-std	375				names/descriptions match (silo text is a shortened form where different)
CONN-color-coding	Color coding	yes	same definition	CONN-color-coding	CONN-color-coding	24				names/descriptions match (silo text is a shortened form where different)
CONN-compat-cosmos	Azure Cosmos DB	yes	same definition	CONN-compat-cosmos	CONN-compat-cosmos	88				names/descriptions match (silo text is a shortened form where different)
CONN-compat-docdb	Amazon DocumentDB	yes	same definition	CONN-compat-docdb	CONN-compat-docdb	118				names/descriptions match (silo text is a shortened form where different)
CONN-compat-ferretdb	FerretDB	yes	same definition	CONN-compat-ferretdb	CONN-compat-ferretdb	10				names/descriptions match (silo text is a shortened form where different)
CONN-compat-redis	Redis	yes	same definition	CONN-compat-redis	CONN-compat-redis	145				names/descriptions match (silo text is a shortened form where different)
CONN-cred-storage	Credential storage	yes	same definition	CONN-cred-storage	CONN-cred-storage	57	widened			pattern narrower than definition; new pattern sampled >= 6/8
CONN-git-repo-sharing	Git-backed connection sharing	yes	same definition	CONN-git-repo-sharing	CONN-git-repo-sharing	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
CONN-import-clients	Import from clients	yes	same definition	CONN-import-clients	CONN-import-clients	21				names/descriptions match (silo text is a shortened form where different)
CONN-in-use-enc	In-use encryption	yes	same definition	CONN-in-use-enc	CONN-in-use-enc	142				names/descriptions match (silo text is a shortened form where different)
CONN-multi-active	Multiple active	yes	same definition	CONN-multi-active	CONN-multi-active	88				names/descriptions match (silo text is a shortened form where different)
CONN-org-folders	Organization & folders	yes	same definition	CONN-org-folders	CONN-org-folders	60				names/descriptions match (silo text is a shortened form where different)
CONN-pool-params	Pool & advanced params	yes	same definition	CONN-pool-params	CONN-pool-params	86				names/descriptions match (silo text is a shortened form where different)
CONN-portability	Import/export configs	yes	same definition	CONN-portability	CONN-portability	2				names/descriptions match (silo text is a shortened form where different)
CONN-proxy	Proxy	yes	same definition	CONN-proxy	CONN-proxy	166				names/descriptions match (silo text is a shortened form where different)
CONN-read-pref	Read preference	yes	same definition	CONN-read-pref	CONN-read-pref	146				names/descriptions match (silo text is a shortened form where different)
CONN-readonly-lock	Read-only lock	yes	same definition	CONN-readonly-lock	CONN-readonly-lock	197				names/descriptions match (silo text is a shortened form where different)
CONN-role-docs	Role/privilege docs	yes	same definition	CONN-role-docs	CONN-role-docs	1				names/descriptions match (silo text is a shortened form where different)
CONN-search-nav	Search & keyboard nav	yes	same definition	CONN-search-nav	CONN-search-nav	6				names/descriptions match (silo text is a shortened form where different)
CONN-session-restore	Session Restore	yes	same definition	CONN-session-restore	CONN-session-restore	6				names/descriptions match (silo text is a shortened form where different)
CONN-sidebar-ops	Sidebar operations	yes	same definition	CONN-sidebar-ops	CONN-sidebar-ops	153	tightened			"3/8: ""connection tree"", ""Database Navigator"", ""connect to"""
CONN-ssh	SSH tunnel	yes	same definition	CONN-ssh	CONN-ssh	398				names/descriptions match (silo text is a shortened form where different)
CONN-team-sharing	Team sharing	yes	same definition	CONN-team-sharing	CONN-team-sharing	64				names/descriptions match (silo text is a shortened form where different)
CONN-test-steps	Connection test	yes	same definition	CONN-test-steps	CONN-test-steps	471				names/descriptions match (silo text is a shortened form where different)
CONN-tls	TLS/SSL config	yes	same definition	CONN-tls	CONN-tls	639	tightened			5/8: bare TLS/SSL/PEM
CONN-topology	Topology types	yes	same definition	CONN-topology	CONN-topology	481	tightened			"4/8: generic ""direct connection"""
CONN-uri-export	URI export	yes	same definition	CONN-uri-export	CONN-uri-export	9				names/descriptions match (silo text is a shortened form where different)
CONN-uri-paste	URI auto-fill	yes	same definition	CONN-uri-paste	CONN-uri-paste	241				names/descriptions match (silo text is a shortened form where different)
GOV-002	Lens policy templates	no	analysis-only					22	5	Lens-internal; 3T repo docs only, 73% family-tagged
GOV-003	Lens alert channels	yes	feed-upstream	PROP-webhook-notify	GOV-003	40	added to silo	35	8	Shipped in 3T Lens/Policy Engine; silo lists it only as PROP-webhook-notify -> promote PROP to sub-feature (catches 23%)
GOV-004	Lens PII classification	yes	feed-upstream	PROP-pii-discovery	GOV-004	123	added to silo	141	8	Shipped in Lens/PII Scanner; PROP-pii-discovery already catches 75% -> promote PROP to sub-feature
GOV-005	Lens versioned diffs	no	analysis-only					8		8 hits; source-audit distinction
GOV-006	Lens performance suggestions	yes	feed-upstream	PROP-idx-perf-advisor	GOV-006	31	added to silo	31	8	Shipped (Lens, VisuaLeaf); PROP-idx-perf-advisor catches 0% -> promote + widen pattern
GOV-007	Lens MCP integration	no	analysis-only					6		6 hits, all tagged
GOV-010	Bridge transform studio	no	analysis-only					4		4 hits, all tagged
GOV-011	Bridge PII masking	no	analysis-only					2		2 hits, both tagged by GOV-data-masking
GOV-012	Bridge security identity	no	analysis-only					2		2 hits
GOV-013	Bridge deployment scaling	no	analysis-only					612	1	Survivor of GOV-platform-k8s (broader: Helm + scaling + observability; exception to descriptive-name rule); Same Helm/K8s meaning; probe 1/5 (K8s mostly = DBeaver connection type)
GOV-ai-controls	AI data controls	yes	feed-upstream		GOV-ai-controls	32	added to silo	50	7	Disable/approve AI; AI-privacy (schema-only vs samples) is a different meaning and catches 0%; 27 distinct, 7/8, 9 products
GOV-air-gapped	Air-gapped support	yes	same definition	GOV-air-gapped	GOV-air-gapped	6				names/descriptions match (silo text is a shortened form where different)
GOV-audit-log	Audit logging	yes	same definition	GOV-audit-log	GOV-audit-log	77				names/descriptions match (silo text is a shortened form where different)
GOV-cli-policy	CLI policy	no	analysis-only					2		2 hits
GOV-collection-compare	Collection compare	yes	same definition	GOV-collection-compare	GOV-collection-compare	146	widened			pattern narrower than definition; new pattern sampled >= 6/8
GOV-collection-sync	Collection sync	yes	same definition	GOV-collection-sync	GOV-collection-sync	63	widened			"pattern narrower than definition; added ""sync differences"" / ""compare and sync"" (first attempt 3/8 at acceptance, tightened)"
GOV-cred-protection	Credential protection	yes	same definition	GOV-cred-protection	GOV-cred-protection	14				names/descriptions match (silo text is a shortened form where different)
GOV-cred-storage-os	OS credential storage	no	child-of	CONN-cred-storage	CONN-cred-storage	57		29	4	OS-keychain mechanism of credential storage; Same meaning as CONN-cred-storage (cross-family); widen pattern (catches 21%)
GOV-data-masking	Data masking	yes	same definition	GOV-data-masking	GOV-data-masking	145				names/descriptions match (silo text is a shortened form where different)
GOV-isolated-edition	Isolated edition	no	analysis-only					120	5	103 hits are one repeated Compass banner; single-vendor
GOV-network-policy	Network policy	yes	same definition	GOV-network-policy	GOV-network-policy	26				names/descriptions match (silo text is a shortened form where different)
GOV-platform-access	3T Access identity	yes	same definition	GOV-platform-access	GOV-platform-access	26				names/descriptions match (silo text is a shortened form where different)
GOV-platform-bridge	Platform bridge integration	no	child-of	GOV-platform-cdc	GOV-platform-cdc	15		79		Bridge integration surface around the CDC engine; 86% already caught by GOV-platform-cdc; orphan
GOV-platform-cdc	CDC pipeline	yes	same definition	GOV-platform-cdc	GOV-platform-cdc	15				names/descriptions match (silo text is a shortened form where different)
GOV-platform-explore	3T Explore workspace	no	analysis-only					0		0 corpus hits; source-only
GOV-platform-k8s	Platform Kubernetes deployment	no	retire (synonym)	GOV-013				612	1	Narrower synonym of GOV-013 (1 reference); Survivor of GOV-013; probe precision 1/5 -> not worth upstream
GOV-platform-lens	3T Lens workspace	yes	same definition	GOV-platform-lens	GOV-platform-lens	46				names/descriptions match (silo text is a shortened form where different)
GOV-platform-oidc	Platform OIDC providers	no	child-of	CONN-auth-enterprise	CONN-auth-enterprise	811		38	3	Platform multi-provider OIDC; silo parent catches 95%; CONN-auth-enterprise (includes MongoDB OIDC) already catches 95%; orphan
GOV-protect-mode	Protect mode	no	retire (synonym)	GOV-readonly-mode	GOV-readonly-mode	6		26		"Own Studio 3T matrix row already says ""Likely duplicate of GOV-readonly-mode"""
GOV-rbac-actions	Privilege actions	no	analysis-only					30	2	Probe 2/5 (role names in code samples); 87% tagged
GOV-rbac-inheritance	Role inheritance	yes	same definition	GOV-rbac-inheritance	GOV-rbac-inheritance	1				names/descriptions match (silo text is a shortened form where different)
GOV-rbac-roles	Custom role creation	yes	same definition	GOV-rbac-roles	GOV-rbac-roles	17	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
GOV-rbac-tree	Privilege tree view	yes	same definition	GOV-rbac-tree	GOV-rbac-tree	1				names/descriptions match (silo text is a shortened form where different)
GOV-rbac-users	RBAC user management	yes	same definition	GOV-rbac-users	GOV-rbac-users	66	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
GOV-readonly-mode	Read-only mode	yes	same definition	GOV-readonly-mode	GOV-readonly-mode	6				names/descriptions match (silo text is a shortened form where different)
GOV-secrets-vault	External secrets manager integration	yes	same definition	GOV-secrets-vault	GOV-secrets-vault	17				names/descriptions match (silo text is a shortened form where different)
GOV-staged-commit	Staged pending-changes review	yes	same definition	GOV-staged-commit	GOV-staged-commit	80				names/descriptions match (silo text is a shortened form where different)
GOV-startup-policy	Startup policy	no	analysis-only					2		2 hits (Compass only)
GOV-telemetry	Telemetry controls	yes	same definition	GOV-telemetry	GOV-telemetry	2				names/descriptions match (silo text is a shortened form where different)
GOV-telemetry-config	Telemetry configuration	no	retire (synonym)	GOV-telemetry	GOV-telemetry	2		12		Same telemetry opt-out meaning
IDX-advanced-opts	Advanced index opts	yes	same definition	IDX-advanced-opts	IDX-advanced-opts	11				names/descriptions match (silo text is a shortened form where different)
IDX-atlas-search	Atlas Search index	yes	same definition	IDX-atlas-search	IDX-atlas-search	41				names/descriptions match (silo text is a shortened form where different)
IDX-build-mode	Build mode	yes	same definition	IDX-build-mode	IDX-build-mode	2				names/descriptions match (silo text is a shortened form where different)
IDX-collation-opts	Collation options	yes	same definition	IDX-collation-opts	IDX-collation-opts	13				names/descriptions match (silo text is a shortened form where different)
IDX-copy-paste	Copy/paste index	yes	same definition	IDX-copy-paste	IDX-copy-paste	6				names/descriptions match (silo text is a shortened form where different)
IDX-explain-brief	Explain — plan mode	yes	same definition	IDX-explain-brief	IDX-explain-brief	158				names/descriptions match (silo text is a shortened form where different)
IDX-explain-full	Explain — full stats	yes	same definition	IDX-explain-full	IDX-explain-full	62				names/descriptions match (silo text is a shortened form where different)
IDX-explain-sources	Explain entry points	yes	same definition	IDX-explain-sources	IDX-explain-sources	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
IDX-geo-opts	Geo index options	yes	same definition	IDX-geo-opts	IDX-geo-opts	4				names/descriptions match (silo text is a shortened form where different)
IDX-hide-unhide	Hide/unhide	yes	same definition	IDX-hide-unhide	IDX-hide-unhide	6				names/descriptions match (silo text is a shortened form where different)
IDX-inventory	Index inventory	yes	same definition	IDX-inventory	IDX-inventory	129	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
IDX-log-parser	Log file parser	yes	same definition	IDX-log-parser	IDX-log-parser	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
IDX-perf-insights	Performance insights	yes	same definition	IDX-perf-insights	IDX-perf-insights	0				names/descriptions match (silo text is a shortened form where different)
IDX-profiler-analysis	Profiler analysis	yes	same definition	IDX-profiler-analysis	IDX-profiler-analysis	3				names/descriptions match (silo text is a shortened form where different)
IDX-profiler-config	Profiler configuration	yes	same definition	IDX-profiler-config	IDX-profiler-config	57				names/descriptions match (silo text is a shortened form where different)
IDX-profiler-drilldown	Profiler drill-down	yes	same definition	IDX-profiler-drilldown	IDX-profiler-drilldown	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
IDX-profiler-export	Profiler export	yes	same definition	IDX-profiler-export	IDX-profiler-export	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
IDX-profiler-live	Live monitoring	yes	same definition	IDX-profiler-live	IDX-profiler-live	20	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
IDX-props-collation	Collation index	yes	same definition	IDX-props-collation	IDX-props-collation	0				names/descriptions match (silo text is a shortened form where different)
IDX-props-hidden	Hidden index	yes	same definition	IDX-props-hidden	IDX-props-hidden	4	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
IDX-props-partial	Partial index	yes	same definition	IDX-props-partial	IDX-props-partial	27				names/descriptions match (silo text is a shortened form where different)
IDX-props-unique-sparse	Unique & sparse	yes	same definition	IDX-props-unique-sparse	IDX-props-unique-sparse	23				names/descriptions match (silo text is a shortened form where different)
IDX-quick-actions	Quick-action presets	yes	same definition	IDX-quick-actions	IDX-quick-actions	2				names/descriptions match (silo text is a shortened form where different)
IDX-realtime-perf	Real-time performance	yes	same definition	IDX-realtime-perf	IDX-realtime-perf	13				names/descriptions match (silo text is a shortened form where different)
IDX-stop-ops	Stop operations	yes	same definition	IDX-stop-ops	IDX-stop-ops	17	boundary-bug fixed			names/descriptions match (silo text is a shortened form where different)
IDX-text-opts	Text index options	yes	same definition	IDX-text-opts	IDX-text-opts	5				names/descriptions match (silo text is a shortened form where different)
IDX-type-2d	2D index	yes	same definition	IDX-type-2d	IDX-type-2d	11				names/descriptions match (silo text is a shortened form where different)
IDX-type-2dsphere	2DSphere index	yes	same definition	IDX-type-2dsphere	IDX-type-2dsphere	5				names/descriptions match (silo text is a shortened form where different)
IDX-type-compound	Compound index	yes	same definition	IDX-type-compound	IDX-type-compound	49				names/descriptions match (silo text is a shortened form where different)
IDX-type-hashed	Hashed index	yes	same definition	IDX-type-hashed	IDX-type-hashed	4				names/descriptions match (silo text is a shortened form where different)
IDX-type-haystack	geoHaystack index	yes	same definition	IDX-type-haystack	IDX-type-haystack	6				names/descriptions match (silo text is a shortened form where different)
IDX-type-multikey	Multikey index	yes	same definition	IDX-type-multikey	IDX-type-multikey	13				names/descriptions match (silo text is a shortened form where different)
IDX-type-single	Single-field index	yes	same definition	IDX-type-single	IDX-type-single	9				names/descriptions match (silo text is a shortened form where different)
IDX-type-text	Text index	yes	same definition	IDX-type-text	IDX-type-text	106				names/descriptions match (silo text is a shortened form where different)
IDX-type-ttl	TTL index	yes	same definition	IDX-type-ttl	IDX-type-ttl	46				names/descriptions match (silo text is a shortened form where different)
IDX-type-wildcard	Wildcard index	yes	same definition	IDX-type-wildcard	IDX-type-wildcard	5	boundary bug left in place			"Fixing \b next to ""("" / ""$"" revived alternatives such as find()/sort()/NOW()/$ that matched code samples (0/8 to 3/6 on-topic); previous behaviour kept, latent dead alternatives documented"
IDX-vector-search	Vector Search index	yes	same definition	IDX-vector-search	IDX-vector-search	33				names/descriptions match (silo text is a shortened form where different)
PROP-ai-gateway-sso	Enterprise AI gateway/SSO for AI Helper	yes	same definition	PROP-ai-gateway-sso	PROP-ai-gateway-sso	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
PROP-bi-dashboard	Native BI/dashboard builder	yes	same definition	PROP-bi-dashboard	PROP-bi-dashboard	43	widened			pattern narrower than definition; new pattern sampled >= 6/8
PROP-cli-automation	Headless CLI / CI-CD pipeline automation	yes	same definition	PROP-cli-automation	PROP-cli-automation	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
PROP-desktop-sso	Desktop app-level SSO/IdP federation	no	analysis-only					-		Proposed feature; silo has no concept of our proposals by design
PROP-federated-query	Federated cross-database querying	yes	same definition	PROP-federated-query	PROP-federated-query	1				names/descriptions match (silo text is a shortened form where different)
PROP-git-integration	Native Git/version-control integration	yes	same definition	PROP-git-integration	PROP-git-integration	70	widened			pattern narrower than definition; new pattern sampled >= 6/8
PROP-ide-companion	VS Code/JetBrains companion extension	no	analysis-only					-		Proposed feature; silo has no concept of our proposals by design
PROP-idx-perf-advisor	AI-driven query/index performance advisor	yes	same definition	PROP-idx-perf-advisor	PROP-idx-perf-advisor	25	widened			pattern narrower than definition; new pattern sampled >= 6/8
PROP-intellishell-debugger	IntelliShell interactive debugger	no	analysis-only					-		Proposed feature; silo has no concept of our proposals by design
PROP-jit-dynamic-masking	JIT access + dynamic query-layer masking	no	analysis-only					-		Proposed feature; silo has no concept of our proposals by design
PROP-pii-discovery	Automated PII classification/discovery	yes	same definition	PROP-pii-discovery	PROP-pii-discovery	86				names/descriptions match (silo text is a shortened form where different)
PROP-qe-key-vault-ui	Queryable Encryption/CSFLE key-vault UI	yes	same definition	PROP-qe-key-vault-ui	PROP-qe-key-vault-ui	0	no corpus evidence; pattern kept			0 docs; definition probe < 5 docs or < 6/8
PROP-schema-drift	Schema drift detection / versioned field history	yes	same definition	PROP-schema-drift	PROP-schema-drift	6				names/descriptions match (silo text is a shortened form where different)
PROP-schema-erd-cluster	Visual ERD / JSON-Schema editor / geo analysis	yes	same definition	PROP-schema-erd-cluster	PROP-schema-erd-cluster	141	widened			pattern narrower than definition; new pattern sampled >= 6/8
PROP-schema-health-advisor	AI schema anti-pattern/health advisor	no	analysis-only					-		Proposed feature; silo has no concept of our proposals by design
PROP-secrets-vault	Secrets vault integration	yes	same definition	PROP-secrets-vault	PROP-secrets-vault	35				names/descriptions match (silo text is a shortened form where different)
PROP-siem-export	Centralized SIEM/audit-log export	no	analysis-only					-		Proposed feature; silo has no concept of our proposals by design
